parent_taxon_id,taxon_id,rank_level,leaf_class_id,iconic_class_id,spatial_class_id,spatial_threshold,name
55642,1468172,11,,,1336,,Polyommatus icarus
1468172,55641,10,388,0,388,0.023502098,Polyommatus icarus
125833,1265004,24,,,1481,,Lycaenopsina
1265004,52485,20,,,1075,,Celastrina
52485,55640,10,239,0,239,0.008352337,Celastrina argiolus
47923,125830,27,,,1489,,Theclinae
125830,125836,25,,,648,,Eumaeini
125836,1456505,24,,,1531,,Strymonina
1456505,50940,20,,,545,,Strymon
50940,50931,10,0,0,0,0.0023324161,Strymon melinus
47923,125835,27,,,950,,Lycaeninae
125835,125818,25,,,1720,,Lycaenini
125818,54010,20,,,1729,,Lycaena
54010,1360268,15,,,958,,Lycaena
1360268,55655,10,54,0,54,0.013134023,Lycaena phlaeas
47224,48508,30,,,529,,Pieridae
48508,119556,27,,,787,,Coliadinae
119556,48551,20,,,1196,,Phoebis
48551,48550,10,196,0,196,0.0075293756,Phoebis sennae
119556,52772,20,,,1329,,Gonepteryx
52772,52771,10,348,0,348,0.020373039,Gonepteryx rhamni
119556,58533,20,,,891,,Colias
58533,58531,10,62,0,62,0.0074392795,Colias philodice
58533,58532,10,406,0,406,0.011982555,Colias eurytheme
48508,209720,27,,,695,,Pierinae
209720,321384,25,,,1191,,Pierini
321384,475032,24,,,1510,,Pierina
475032,55690,20,,,1668,,Pieris
55690,54087,10,177,0,177,0.013957627,Pieris napi
55690,55401,10,254,0,254,0.012343202,Pieris brassicae
55690,55626,10,146,0,146,0.018105203,Pieris rapae
475032,59122,20,,,748,,Pontia
59122,59119,10,33,0,33,0.017261785,Pontia protodice
47157,47405,33,,,847,,Pterophoroidea
47405,47404,30,,,1142,,Pterophoridae
47404,127452,27,,,591,,Pterophorinae
127452,211075,25,,,848,,Oidaematophorini
211075,124599,20,,,1974,,Emmelina
124599,127431,10,454,0,454,0.000032303353,Emmelina monodactyla
47157,47607,33,,,1581,,Noctuoidea
47607,48670,30,,,1285,,Noctuidae
48670,122224,27,,,1271,,Noctuinae
122224,117747,25,,,1129,,Noctuini
117747,320201,24,,,1587,,Noctuina
320201,81688,20,,,1043,,Noctua
81688,81687,10,61,0,61,0.009756823,Noctua pronuba
122224,122731,25,,,1778,,Leucaniini
122731,121184,20,,,947,,Mythimna
121184,1257539,15,,,1117,,Pseudaletia
1257539,121183,10,138,0,138,0.0035672297,Mythimna unipuncta
48670,122455,27,,,1923,,Plusiinae
122455,62792,25,,,1236,,Plusiini
62792,124044,24,,,1328,,Plusiina
124044,55652,20,,,1053,,Autographa
55652,55651,10,70,0,70,0.008521297,Autographa gamma
48670,122465,27,,,1501,,Acronictinae
122465,55624,20,,,585,,Acronicta
55624,1096177,15,,,619,,Acronicta
1096177,1293501,13,,,741,,Acronicta americana
1293501,145659,10,315,0,315,0.011699746,Acronicta americana
47607,121850,30,,,774,,Erebidae
121850,47606,27,,,565,,Arctiinae
47606,82089,25,,,1326,,Arctiini
82089,82099,24,,,1536,,Callimorphina
82099,55695,20,,,1030,,Tyria
55695,51781,10,264,0,264,0.012199822,Tyria jacobaeae
82089,82113,24,,,1160,,Phaegopterina
82113,67692,20,,,1942,,Lophocampa
67692,82225,10,235,0,235,0.03767735,Lophocampa caryae
82113,81678,20,,,640,,Euchaetes
81678,81677,10,323,0,323,0.0102729695,Euchaetes egle
82113,120218,20,,,731,,Halysidota
120218,120217,10,433,0,433,0.018174348,Halysidota tessellaris
82089,123834,24,,,1938,,Spilosomina
123834,59676,20,,,1674,,Pyrrharctia
59676,59675,10,36,0,36,0.01216294,Pyrrharctia isabella
123834,60840,20,,,1837,,Spilosoma
60840,60839,10,6,0,6,0.015110703,Spilosoma virginica
123834,63030,20,,,776,,Hypercompe
63030,63028,10,144,0,144,0.015071652,Hypercompe scribonia
123834,121613,20,,,1726,,Estigmene
121613,121612,10,151,0,151,0.002857928,Estigmene acrea
123834,127135,20,,,1241,,Hyphantria
127135,127133,10,483,0,483,0.009723424,Hyphantria cunea
121850,48847,27,,,1087,,Lymantriinae
48847,82039,25,,,833,,Lymantriini
82039,48848,20,,,1000,,Lymantria
48848,1552378,15,,,1829,,Porthetria
1552378,47802,10,446,0,446,0.018915692,Lymantria dispar
48847,82042,25,,,1554,,Orgyiini
82042,49031,20,,,1485,,Orgyia
49031,81665,10,367,0,367,0.020474922,Orgyia leucostigma
121850,122426,27,,,1911,,Erebinae
122426,121562,25,,,778,,Thermesiini
121562,61504,20,,,1608,,Ascalapha
61504,61503,10,121,0,121,0.0022621353,Ascalapha odorata
121850,122457,27,,,893,,Hypeninae
122457,82202,20,,,1197,,Hypena
82202,118513,10,381,0,381,0.011712929,Hypena scabra
47157,49682,33,,,1052,,Pyraloidea
49682,52002,30,,,1925,,Crambidae
52002,122486,27,,,1738,,Spilomelinae
122486,892367,25,,,1027,,Margaroniini
892367,124803,20,,,1339,,Cydalima
124803,325295,10,471,0,471,0.024665618,Cydalima perspectalis
